Date Time,T (degC)
2015-08-21,16.855138888888888
2015-08-22,17.625416666666666
2015-08-23,18.42826388888889
2015-08-24,20.19736111111111
2015-08-25,15.972569444444446
2015-08-26,19.109305555555554
2015-08-27,22.52104166666667
2015-08-28,16.831458333333334
2015-08-29,18.999166666666667
2015-08-30,23.88951388888889
2015-08-31,25.393680555555555
2015-09-01,20.71798611111111
2015-09-02,15.523125
2015-09-03,13.31298611111111
2015-09-04,12.941666666666666
2015-09-05,12.640694444444444
2015-09-06,11.425416666666667
2015-09-07,12.194444444444445
2015-09-08,12.776319444444445
2015-09-09,13.058958333333333
2015-09-10,11.123402777777777
2015-09-11,11.739513888888888
2015-09-12,15.672708333333333
2015-09-13,19.840833333333332
2015-09-14,16.011944444444442
2015-09-15,14.621875000000001
2015-09-16,16.22763888888889
2015-09-17,17.186666666666667
2015-09-18,14.988055555555556
2015-09-19,13.274722222222222
2015-09-20,12.726666666666667
2015-09-21,13.604375
2015-09-22,12.615763888888889
2015-09-23,11.90423611111111
2015-09-24,12.395833333333334
2015-09-25,11.406041666666667
2015-09-26,11.964027777777778
2015-09-27,11.059583333333332
2015-09-28,9.921041666666667
2015-09-29,10.461875
2015-09-30,9.81298611111111
2015-10-01,8.910138888888888
2015-10-02,8.971458333333334
2015-10-03,12.447986111111112
2015-10-04,12.791666666666666
2015-10-05,14.234791666666666
2015-10-06,14.273680555555554
2015-10-07,14.756527777777778
2015-10-08,13.782013888888889
2015-10-09,12.056666666666667
2015-10-10,6.940625000000001
2015-10-11,4.037083333333333
2015-10-12,2.4420833333333336
2015-10-13,2.0697222222222225
2015-10-14,0.7648611111111111
2015-10-15,3.5861805555555555
2015-10-16,6.14125
2015-10-17,6.643055555555556
2015-10-18,6.602569444444445
2015-10-19,5.760416666666667
2015-10-20,7.567847222222222
2015-10-21,7.923402777777778
2015-10-22,8.025902777777778
2015-10-23,9.92048611111111
2015-10-24,6.086041666666667
2015-10-25,9.87701388888889
2015-10-26,9.963194444444445
2015-10-27,7.650972222222222
2015-10-28,6.367638888888889
2015-10-29,6.899583333333333
2015-10-30,9.29326388888889
2015-10-31,8.488680555555554
2015-11-01,9.43326388888889
2015-11-02,5.741458333333333
2015-11-03,4.164305555555555
2015-11-04,7.116041666666667
2015-11-05,10.553194444444445
2015-11-06,11.753263888888888
2015-11-07,15.643541666666668
2015-11-08,14.469652777777778
2015-11-09,15.162013888888888
2015-11-10,15.093194444444444
2015-11-11,13.459166666666667
2015-11-12,11.727916666666665
2015-11-13,10.682986111111111
2015-11-14,6.674652777777777
2015-11-15,10.446041666666666
2015-11-16,10.854861111111111
2015-11-17,12.189930555555556
2015-11-18,13.269305555555555
2015-11-19,11.310416666666667
2015-11-20,6.945416666666667
2015-11-21,3.553611111111111
2015-11-22,0.8396527777777778
2015-11-23,0.27805555555555556
2015-11-24,0.33340277777777777
2015-11-25,2.1616666666666666
